year,month,state_name,county_name,NDVI
2017,1,KANSAS,FINNEY,0.2888888888888888
2017,1,KANSAS,HASKELL,0.2888888888888888
2017,1,KANSAS,OSBORNE,0.2888888888888888
2017,1,KANSAS,SHERIDAN,0.2888888888888888
2017,1,KANSAS,HODGEMAN,0.2888888888888888
2017,1,KANSAS,THOMAS,0.2888888888888888
2017,1,KANSAS,MORTON,0.2888888888888888
2017,1,TEXAS,OCHILTREE,0.2888888888888888
2017,1,TEXAS,DALLAM,0.2888888888888888
2017,1,KANSAS,FORD,0.2888888888888888
2017,1,KANSAS,WALLACE,0.2888888888888888
2017,1,KANSAS,LANE,0.2888888888888888
2017,1,KANSAS,GRAY,0.2888888888888888
2017,1,KANSAS,STANTON,0.2888888888888888
2017,1,KANSAS,EDWARDS,0.2888888888888888
2017,1,KANSAS,WICHITA,0.2888888888888888
2017,1,OKLAHOMA,WOODWARD,0.2888888888888888
2017,1,KANSAS,MEADE,0.2888888888888888
2017,1,OKLAHOMA,CIMARRON,0.2888888888888888
2017,1,KANSAS,COMANCHE,0.2888888888888888
2017,1,KANSAS,TREGO,0.2888888888888888
2017,1,KANSAS,LOGAN,0.2888888888888888
2017,1,KANSAS,DECATUR,0.2888888888888888
2017,1,KANSAS,GOVE,0.2888888888888888
2017,1,KANSAS,PHILLIPS,0.2888888888888888
2017,1,KANSAS,CHEYENNE,0.2888888888888888
2017,1,KANSAS,SEWARD,0.2888888888888888
2017,1,TEXAS,LIPSCOMB,0.2888888888888888
2017,1,OKLAHOMA,TEXAS,0.2888888888888888
2017,1,KANSAS,ROOKS,0.2888888888888888
2017,1,KANSAS,KIOWA,0.2888888888888888
2017,1,KANSAS,CLARK,0.2888888888888888
2017,1,KANSAS,KEARNY,0.2888888888888888
2017,1,KANSAS,BARTON,0.2888888888888888
2017,1,KANSAS,PAWNEE,0.2888888888888888
2017,1,KANSAS,SHERMAN,0.2888888888888888
2017,1,KANSAS,NESS,0.2888888888888888
2017,1,KANSAS,HAMILTON,0.2888888888888888
2017,1,TEXAS,HANSFORD,0.2888888888888888
2017,1,KANSAS,SMITH,0.2888888888888888
2017,1,OKLAHOMA,BEAVER,0.2888888888888888
2017,1,OKLAHOMA,ELLIS,0.2888888888888888
2017,1,KANSAS,RUSSELL,0.2888888888888888
2017,1,OKLAHOMA,WOODS,0.2888888888888888
2017,1,KANSAS,NORTON,0.1428571428571428
2017,1,KANSAS,RAWLINS,0.1428571428571428
2017,1,KANSAS,DECATUR,0.1428571428571428
2017,1,KANSAS,PHILLIPS,0.1428571428571428
2017,1,KANSAS,CHEYENNE,0.1428571428571428
2017,1,KANSAS,SMITH,0.1428571428571428
2017,1,SOUTH DAKOTA,HUGHES,0.0120481927710843
2017,1,SOUTH DAKOTA,HYDE,0.0120481927710843
2017,1,SOUTH DAKOTA,CAMPBELL,0.0120481927710843
2017,1,SOUTH DAKOTA,POTTER,0.0120481927710843
2017,1,SOUTH DAKOTA,MCPHERSON,0.0120481927710843
2017,1,SOUTH DAKOTA,BENNETT,0.0120481927710843
2017,1,SOUTH DAKOTA,OGLALA LAKOTA,0.0120481927710843
2017,1,SOUTH DAKOTA,JACKSON,0.0120481927710843
2017,1,SOUTH DAKOTA,BUFFALO,0.0120481927710843
2017,1,SOUTH DAKOTA,HAAKON,0.0120481927710843
2017,1,SOUTH DAKOTA,MELLETTE,0.0120481927710843
2017,1,SOUTH DAKOTA,ZIEBACH,0.0120481927710843
2017,1,SOUTH DAKOTA,STANLEY,0.0120481927710843
2017,1,SOUTH DAKOTA,TODD,0.0120481927710843
2017,1,SOUTH DAKOTA,CORSON,0.0120481927710843
2017,1,SOUTH DAKOTA,DEWEY,0.0120481927710843
