state_name,county_name,lon,lat
INDIANA,POSEY,-87.8543645,38.0145359
INDIANA,SPENCER,-86.9976446,38.0288806
INDIANA,SULLIVAN,-87.4172644,39.0492722
INDIANA,VANDERBURGH,-87.5806553,38.0461185
INDIANA,WARRICK,-87.2758933,38.0906065
INDIANA,BROWN,-86.2297004,39.1682855
INDIANA,CRAWFORD,-86.444022,38.304425
INDIANA,FLOYD,-85.8996295,38.3176799
INDIANA,HARRISON,-86.1066917,38.1816187
INDIANA,JACKSON,-86.0650856,38.9023184
INDIANA,LAWRENCE,-86.4880717,38.8400395
INDIANA,MONROE,-86.5186372,39.1296076
INDIANA,ORANGE,-86.4953216,38.5421361
INDIANA,PERRY,-86.632911,38.0893386
INDIANA,WASHINGTON,-86.1179768,38.5612578
INDIANA,CLARK,-85.7169081,38.4941217
INDIANA,DEARBORN,-84.9820997,39.1340338
INDIANA,FRANKLIN,-85.0563234,39.4149034
INDIANA,JEFFERSON,-85.4299489,38.8166724
INDIANA,JENNINGS,-85.6359201,38.9957749
INDIANA,OHIO,-84.9581728,38.9480496
INDIANA,RIPLEY,-85.2691784,39.0846316
INDIANA,SCOTT,-85.7444145,38.6727039
INDIANA,SWITZERLAND,-85.0373975,38.8249258
IOWA,BUENA VISTA,-95.1127525,42.7445814
IOWA,CHEROKEE,-95.6249803,42.7247968
IOWA,CLAY,-95.1407762,43.0809373
IOWA,DICKINSON,-95.1654279,43.3753018
IOWA,EMMET,-94.6749933,43.3707528
IOWA,LYON,-96.2081917,43.3747071
IOWA,O BRIEN,-95.6277063,43.0755779
IOWA,OSCEOLA,-95.6299944,43.3684613
IOWA,PALO ALTO,-94.6625047,43.0762829
IOWA,PLYMOUTH,-96.2213607,42.7369124
IOWA,POCAHONTAS,-94.6477383,42.7262681
IOWA,SIOUX,-96.1602368,43.0574079
IOWA,BUTLER,-92.7819493,42.7336512
IOWA,CERRO GORDO,-93.2548746,43.0742443
IOWA,FLOYD,-92.7830539,43.0587894
IOWA,FRANKLIN,-93.2513168,42.7285907
IOWA,HANCOCK,-93.7363674,43.0847702
IOWA,HUMBOLDT,-94.1956133,42.7756032
IOWA,KOSSUTH,-94.209098,43.1825351
IOWA,MITCHELL,-92.7840209,43.342033
IOWA,WINNEBAGO,-93.7316088,43.3747879
IOWA,WORTH,-93.2658698,43.3696764
IOWA,WRIGHT,-93.7325849,42.7404452
IOWA,ALLAMAKEE,-91.3961856,43.2961731
IOWA,BLACK HAWK,-92.3030235,42.4607526
IOWA,BREMER,-92.3099856,42.7669649
IOWA,BUCHANAN,-91.8449198,42.4634928
IOWA,CHICKASAW,-92.316679,43.05994
IOWA,CLAYTON,-91.3667151,42.8547706
IOWA,DELAWARE,-91.3621282,42.4663805
IOWA,DUBUQUE,-90.6647985,42.5006243
IOWA,FAYETTE,-91.850265,42.8420766
IOWA,HOWARD,-92.3230007,43.3353641
IOWA,WINNESHIEK,-91.8563139,43.2677179
IOWA,AUDUBON,-94.9106526,41.670205
IOWA,CALHOUN,-94.6332459,42.3808184
IOWA,CARROLL,-94.860335,42.0193628
IOWA,CRAWFORD,-95.3811884,42.020579
IOWA,GREENE,-94.4005864,42.0182893
IOWA,GUTHRIE,-94.4985983,41.6721976
IOWA,HARRISON,-95.7976315,41.6659155
IOWA,IDA,-95.4949407,42.3788371
IOWA,MONONA,-95.9356631,42.0218737
IOWA,SAC,-95.0825306,42.3797854
IOWA,SHELBY,-95.3163623,41.668243
IOWA,WOODBURY,-96.0607187,42.3775361
IOWA,BOONE,-93.9254114,42.0171798
IOWA,DALLAS,-94.0394437,41.6744179
IOWA,GRUNDY,-92.7808666,42.4132701
