year,state_name,county_name,yield,lon,lat
2000,MONTANA,SWEET GRASS,15.0,-109.9503947,45.8729386
2000,MONTANA,TETON,34.0,-112.2566035,47.8455676
2000,MONTANA,TOOLE,34.0,-111.7313702,48.6768334
2000,MONTANA,TREASURE,19.0,-107.2625484,46.1833795
2000,MONTANA,VALLEY,46.0,-106.615665,48.3564433
2000,MONTANA,WHEATLAND,26.0,-109.8498047,46.4335302
2000,MONTANA,WIBAUX,32.0,-104.2215171,46.910018
2000,MONTANA,YELLOWSTONE,23.0,-108.276076,45.9645464
2000,NORTH DAKOTA,ADAMS,42.0,-102.5315028,46.073286
2000,NORTH DAKOTA,BARNES,41.0,-98.0678849,46.9310489
2000,NORTH DAKOTA,BOTTINEAU,46.4,-100.8431321,48.8243455
2000,NORTH DAKOTA,BOWMAN,34.7,-103.5086625,46.1010498
2000,NORTH DAKOTA,BURKE,46.0,-102.5295867,48.7882181
2000,NORTH DAKOTA,BURLEIGH,40.5,-100.5127667,46.9498874
2000,NORTH DAKOTA,CASS,43.3,-97.220631,46.9241972
2000,NORTH DAKOTA,DICKEY,53.2,-98.5322728,46.0952757
2000,NORTH DAKOTA,DIVIDE,46.0,-103.5180387,48.8189219
2000,NORTH DAKOTA,DUNN,33.0,-102.6112348,47.30612
2000,NORTH DAKOTA,EDDY,35.7,-98.9087265,47.7113958
2000,NORTH DAKOTA,EMMONS,51.4,-100.2574942,46.2575403
2000,NORTH DAKOTA,FOSTER,38.0,-98.8815333,47.4642277
2000,NORTH DAKOTA,GOLDEN VALLEY,33.0,-103.8668414,46.9317944
2000,NORTH DAKOTA,GRAND FORKS,40.0,-97.0592028,47.9078244
2000,NORTH DAKOTA,GRANT,38.2,-101.6261837,46.3441037
2000,NORTH DAKOTA,GRIGGS,33.6,-98.2616158,47.4473179
2000,NORTH DAKOTA,HETTINGER,44.8,-102.4167046,46.4448014
2000,NORTH DAKOTA,KIDDER,40.0,-99.7952675,46.9636218
2000,NORTH DAKOTA,LA MOURE,42.0,,
2000,NORTH DAKOTA,LOGAN,57.0,-99.4501721,46.4650338
2000,NORTH DAKOTA,MCHENRY,44.3,-100.65378,48.1907427
2000,NORTH DAKOTA,MCINTOSH,56.3,-99.4243411,46.1097938
2000,NORTH DAKOTA,MCKENZIE,33.0,-103.4734684,47.7702536
2000,NORTH DAKOTA,MCLEAN,37.8,-101.1719782,47.6002156
2000,NORTH DAKOTA,MORTON,45.3,-101.1644543,46.7244733
2000,NORTH DAKOTA,NELSON,35.0,-98.1774434,47.8852229
2000,NORTH DAKOTA,RAMSEY,47.6,-98.7062419,48.2426199
2000,NORTH DAKOTA,RANSOM,55.7,-97.6903091,46.4519081
2000,NORTH DAKOTA,ROLETTE,54.3,-99.8380336,48.7419695
2000,NORTH DAKOTA,SARGENT,47.7,-97.6291809,46.1101793
2000,NORTH DAKOTA,SIOUX,40.3,-100.978187,46.0654725
2000,NORTH DAKOTA,STARK,40.8,-102.7338349,46.7870161
2000,NORTH DAKOTA,STEELE,37.6,-97.7450372,47.4413054
2000,NORTH DAKOTA,STUTSMAN,44.6,-98.9742609,46.9596318
2000,NORTH DAKOTA,TOWNER,46.7,-99.2322581,48.6481504
2000,NORTH DAKOTA,TRAILL,41.6,-97.1797001,47.4438504
2000,NORTH DAKOTA,WARD,55.3,-101.6242607,48.2488309
2000,OKLAHOMA,ADAIR,30.0,-94.6567402,35.8783136
2000,OKLAHOMA,ALFALFA,38.0,-98.3087911,36.7201825
2000,OKLAHOMA,ATOKA,25.0,-96.017838,34.3284948
2000,OKLAHOMA,BEAVER,27.0,-100.4904955,36.7621116
2000,OKLAHOMA,BECKHAM,30.0,-99.6946079,35.2496723
2000,OKLAHOMA,BLAINE,34.0,-98.4225961,35.8970899
2000,OKLAHOMA,BRYAN,32.5,-96.3154827,33.95386
2000,OKLAHOMA,CADDO,34.5,-98.3797949,35.131317
2000,OKLAHOMA,CANADIAN,37.0,-98.0031532,35.5438102
2000,OKLAHOMA,CARTER,25.0,-97.2789479,34.2330314
2000,OKLAHOMA,CHEROKEE,30.0,-94.9950063,35.9158661
2000,OKLAHOMA,CHOCTAW,27.5,-95.52055,34.0246234
2000,OKLAHOMA,CIMARRON,33.5,-102.5402407,36.7475509
2000,OKLAHOMA,CLEVELAND,33.0,-97.3109151,35.2301869
2000,OKLAHOMA,COAL,22.5,-96.2944665,34.5661009
2000,OKLAHOMA,COMANCHE,32.5,-98.4485103,34.6557505
2000,OKLAHOMA,COTTON,30.5,-98.3750699,34.2907874
2000,OKLAHOMA,CRAIG,36.5,-95.2053495,36.7594037
2000,OKLAHOMA,CREEK,36.0,-96.3835476,35.8830723
2000,OKLAHOMA,CUSTER,34.5,-99.0092034,35.6286063
2000,OKLAHOMA,DELAWARE,40.0,-94.8069453,36.4118421
2000,OKLAHOMA,DEWEY,33.0,-98.9816579,35.9795036
2000,OKLAHOMA,ELLIS,25.8,-99.7883601,36.2468449
2000,OKLAHOMA,GARFIELD,34.5,-97.7845975,36.3735486
2000,OKLAHOMA,GARVIN,32.0,-97.3522579,34.7258964
2000,OKLAHOMA,GRADY,35.5,-97.8849251,35.0507761
2000,OKLAHOMA,GRANT,35.0,-97.7824914,36.7888817
2000,OKLAHOMA,GREER,28.5,-99.5435856,34.9326334
2000,OKLAHOMA,HARMON,30.0,-99.8358205,34.7486602
2000,OKLAHOMA,HARPER,26.5,-99.6710032,36.7804883
2000,OKLAHOMA,HASKELL,34.0,-95.1115771,35.2084387
2000,OKLAHOMA,HUGHES,25.0,-96.2749675,35.0458435
2000,OKLAHOMA,JACKSON,36.0,-99.4370196,34.5976018
2000,OKLAHOMA,JEFFERSON,28.0,-97.8379641,34.1234448
2000,OKLAHOMA,JOHNSTON,22.5,-96.6752298,34.31888
2000,OKLAHOMA,KAY,35.5,-97.1571626,36.8384462
2000,OKLAHOMA,KINGFISHER,35.0,-97.9641244,35.9471931
2000,OKLAHOMA,KIOWA,33.5,-99.019906,34.9425062
2000,OKLAHOMA,LEFLORE,28.5,-94.9802358,34.8987103
2000,OKLAHOMA,LINCOLN,39.0,-96.8898429,35.6961464
2000,OKLAHOMA,LOGAN,34.5,-97.4621935,35.8879493
2000,OKLAHOMA,LOVE,30.0,-97.2526992,33.9852998
2000,OKLAHOMA,MAJOR,31.5,-98.4995602,36.2860458
2000,OKLAHOMA,MARSHALL,30.0,-96.7808049,34.0497884
2000,OKLAHOMA,MAYES,39.0,-95.2355722,36.3047676
2000,OKLAHOMA,MCCLAIN,33.0,-97.481167,34.9756991
2000,OKLAHOMA,MCCURTAIN,36.0,-94.7802324,34.1450295
2000,OKLAHOMA,MCINTOSH,37.5,-95.6680554,35.3630353
2000,OKLAHOMA,MURRAY,28.5,-97.0475803,34.4935341
2000,OKLAHOMA,MUSKOGEE,37.5,-95.3927706,35.6630196
2000,OKLAHOMA,NOBLE,32.5,-97.2681939,36.4129621
2000,OKLAHOMA,NOWATA,29.0,-95.6226184,36.7798848
2000,OKLAHOMA,OKFUSKEE,28.0,-96.3102089,35.4655548
2000,OKLAHOMA,OKLAHOMA,34.5,-97.4367741,35.5533328
2000,OKLAHOMA,OKMULGEE,33.0,-95.9690122,35.6677078
2000,OKLAHOMA,OSAGE,30.0,-96.401338,36.6189659
2000,OKLAHOMA,OTTAWA,40.0,-94.8186091,36.8223646
2000,OKLAHOMA,PAWNEE,34.0,-96.7200995,36.3151645
2000,OKLAHOMA,PAYNE,32.0,-96.9456522,36.0721527
2000,OKLAHOMA,PITTSBURG,44.0,-95.7625858,34.9327085
2000,OKLAHOMA,PONTOTOC,43.0,-96.6814853,34.707331
2000,OKLAHOMA,POTTAWATOMIE,35.0,-96.969909,35.1783637
2000,OKLAHOMA,ROGER MILLS,29.0,-99.6898104,35.6596782
2000,OKLAHOMA,ROGERS,25.0,-95.6190889,36.3781607
2000,OKLAHOMA,SEMINOLE,32.0,-96.6263487,35.1705939
2000,OKLAHOMA,SEQUOYAH,45.0,-94.7360577,35.5035863
2000,OKLAHOMA,STEPHENS,29.5,-97.8636045,34.4858287
2000,OKLAHOMA,TEXAS,40.5,-101.4953594,36.7390314
2000,OKLAHOMA,TILLMAN,32.5,-98.9354765,34.3835721
2000,OKLAHOMA,TULSA,32.0,-95.9927516,36.1563122
2000,OKLAHOMA,WAGONER,36.5,-95.5636238,35.9542216
2000,OKLAHOMA,WASHINGTON,37.5,-95.9078261,36.6930592
2000,OKLAHOMA,WASHITA,33.5,-98.9966972,35.2917033
2000,OKLAHOMA,WOODS,35.0,-98.8313546,36.7915843
2000,OKLAHOMA,WOODWARD,30.0,-99.2455382,36.374499
2000,SOUTH DAKOTA,AURORA,45.6,-98.5722461,43.6963371
2000,SOUTH DAKOTA,BEADLE,48.5,-98.2751583,44.4157764
2000,SOUTH DAKOTA,BENNETT,35.9,-101.655263,43.1854085
2000,SOUTH DAKOTA,BON HOMME,36.0,-97.8721324,43.0067408
2000,SOUTH DAKOTA,BROOKINGS,55.0,-96.7925213,44.3763598
2000,SOUTH DAKOTA,BROWN,45.0,-98.3674786,45.5832968
2000,SOUTH DAKOTA,BRULE,41.2,-99.0538876,43.6848301
2000,SOUTH DAKOTA,BUFFALO,42.9,-99.1707339,44.0646363
2000,SOUTH DAKOTA,BUTTE,27.5,-103.5267067,44.9121731
2000,SOUTH DAKOTA,CAMPBELL,51.1,-100.0441548,45.7560544
2000,SOUTH DAKOTA,CHARLES MIX,38.4,-98.6162758,43.2257871
2000,SOUTH DAKOTA,CLARK,37.0,-97.7431382,44.8684319
2000,SOUTH DAKOTA,CLAY,28.6,-96.9712933,42.9190617
2000,SOUTH DAKOTA,CODINGTON,44.5,-97.1976513,44.9695646
2000,SOUTH DAKOTA,CORSON,43.0,-101.1797766,45.7135207
2000,SOUTH DAKOTA,CUSTER,33.4,-103.5101597,43.6726477
2000,SOUTH DAKOTA,DAVISON,42.6,-98.1383168,43.6660467
2000,SOUTH DAKOTA,DAY,47.0,-97.6152661,45.3658879
2000,SOUTH DAKOTA,DEUEL,46.0,-96.671551,44.7554353
2000,SOUTH DAKOTA,DEWEY,43.6,-100.8592127,45.1788983
2000,SOUTH DAKOTA,DOUGLAS,44.2,-98.3406673,43.3969325
2000,SOUTH DAKOTA,EDMUNDS,53.3,-99.2220208,45.4163408
2000,SOUTH DAKOTA,FALL RIVER,37.3,-103.5791473,43.2264954
2000,SOUTH DAKOTA,FAULK,51.6,-99.1739778,45.0743643
2000,SOUTH DAKOTA,GREGORY,26.9,-99.1674843,43.1713788
2000,SOUTH DAKOTA,HAAKON,40.8,-101.5756888,44.2887741
2000,SOUTH DAKOTA,HAMLIN,46.0,-97.2005816,44.6754502
2000,SOUTH DAKOTA,HAND,46.4,-99.0053027,44.5405047
2000,SOUTH DAKOTA,HANSON,50.0,-97.7945361,43.6615541
2000,SOUTH DAKOTA,HARDING,41.4,-103.4791412,45.5509163
2000,SOUTH DAKOTA,HUGHES,49.0,-99.946102,44.4047339
2000,SOUTH DAKOTA,HUTCHINSON,41.6,-97.7396791,43.3271413
2000,SOUTH DAKOTA,HYDE,41.4,-99.4936719,44.5103405
2000,SOUTH DAKOTA,JACKSON,34.4,-101.6595883,43.668546
2000,SOUTH DAKOTA,JERAULD,43.0,-98.6182042,44.0797601
2000,SOUTH DAKOTA,JONES,35.8,-100.6853793,43.9667174
2000,SOUTH DAKOTA,KINGSBURY,46.8,-97.4882433,44.3631469
2000,SOUTH DAKOTA,LAKE,56.0,-97.1267291,44.0188394
2000,SOUTH DAKOTA,LAWRENCE,36.0,-103.8248538,44.3501591
2000,SOUTH DAKOTA,LYMAN,39.2,-99.8581638,43.9176386
2000,SOUTH DAKOTA,MARSHALL,41.1,-97.6300108,45.7619018
2000,SOUTH DAKOTA,MCPHERSON,43.7,-99.2473056,45.7350535
2000,SOUTH DAKOTA,MEADE,32.2,-102.6463435,44.5263375
2000,SOUTH DAKOTA,MELLETTE,31.7,-100.7249944,43.561525
2000,SOUTH DAKOTA,MINER,41.1,-97.6043451,44.0129518
2000,SOUTH DAKOTA,MOODY,45.7,-96.6671385,43.998215
2000,SOUTH DAKOTA,OGLALA LAKOTA,43.1,-102.5637516,43.2977026
2000,SOUTH DAKOTA,PENNINGTON,36.9,-102.7854668,43.9955746
2000,SOUTH DAKOTA,PERKINS,35.9,-102.5053545,45.5288022
2000,SOUTH DAKOTA,POTTER,55.0,-99.9607952,45.0764805
2000,SOUTH DAKOTA,SANBORN,41.9,-98.0834349,44.0089691
2000,SOUTH DAKOTA,SPINK,52.4,-98.3730958,44.9438314
2000,SOUTH DAKOTA,STANLEY,36.9,-100.802728,44.4189684
2000,SOUTH DAKOTA,SULLY,56.3,-100.0690149,44.7173891
2000,SOUTH DAKOTA,TODD,34.6,-100.7438395,43.184924
2000,SOUTH DAKOTA,TRIPP,28.7,-99.8941094,43.3235158
2000,SOUTH DAKOTA,WALWORTH,58.9,-100.0072972,45.4043853
2000,SOUTH DAKOTA,YANKTON,38.0,-97.3967561,43.0115255
2000,SOUTH DAKOTA,ZIEBACH,40.5,-101.7110445,44.9241074
2000,TEXAS,ANDERSON,37.0,-95.6258199,31.7819242
2000,TEXAS,ANDREWS,26.0,-102.6042447,32.2690953
2000,TEXAS,ARCHER,20.7,-98.7044869,33.5816594
2000,TEXAS,ARMSTRONG,20.6,-101.3449139,34.9295608
2000,TEXAS,ATASCOSA,14.0,-98.5316314,28.8554434
2000,TEXAS,BAILEY,20.9,-102.8149372,34.0349194
2000,TEXAS,BAYLOR,27.4,-99.2000611,33.574962
2000,TEXAS,BELL,36.8,-97.4314413,31.0081659
2000,TEXAS,BEXAR,21.8,-98.5104781,29.4263987
2000,TEXAS,BORDEN,25.0,-101.425711,32.6879416
2000,TEXAS,BOSQUE,22.9,-97.6561014,31.8778358
2000,TEXAS,BOWIE,37.0,-94.4479626,33.4198886
2000,TEXAS,BRAZOS,36.7,-96.3497772,30.6993189
2000,TEXAS,BRISCOE,15.0,-101.1875029,34.4795161
2000,TEXAS,BROWN,16.0,-98.9904722,31.7525184
2000,TEXAS,BURLESON,21.7,-96.6353488,30.4764878
2000,TEXAS,CALDWELL,0.0,-97.5959641,29.8298971
2000,TEXAS,CALLAHAN,14.9,-99.3612437,32.2810409
2000,TEXAS,CARSON,17.5,-101.3353895,35.3636563
2000,TEXAS,CASTRO,33.0,-102.2592314,34.4952536
2000,TEXAS,CHAMBERS,28.0,-94.5412295,29.7191125
2000,TEXAS,CHILDRESS,17.9,-100.20676557187429,34.519656850000004
2000,TEXAS,CLAY,30.2,-98.2123296,33.6856157
2000,TEXAS,COCHRAN,23.9,-102.805677,33.5905096
2000,TEXAS,COKE,20.0,-100.5474369,31.8695226
2000,TEXAS,COLEMAN,21.0,-99.4461098,31.7766863
2000,TEXAS,COLLIN,42.8,-96.6060984,33.1609629
2000,TEXAS,COLLINGSWORTH,26.7,-100.2669137,34.9487017
2000,TEXAS,COMANCHE,22.0,-98.527388,31.9130171
2000,TEXAS,CONCHO,23.3,-99.8507578,31.3102947
2000,TEXAS,COOKE,44.4,-97.2055298,33.582486
2000,TEXAS,CORYELL,24.1,-97.8184077,31.3689333
2000,TEXAS,COTTLE,17.6,-100.283259,34.0573118
2000,TEXAS,CROSBY,18.9,-101.2855737,33.5778818
2000,TEXAS,DALLAM,41.1,-102.616685,36.3127064
2000,TEXAS,DALLAS,42.4,-96.7968559,32.7762719
2000,TEXAS,DAWSON,21.8,-101.9576048,32.7410762
2000,TEXAS,DEAF SMITH,22.6,-102.5983118,34.9323974
2000,TEXAS,DELTA,47.3,-95.6749486,33.3926893
2000,TEXAS,DENTON,33.5,-97.1413417,33.1838787
2000,TEXAS,DICKENS,20.0,-100.7614115,33.6170056
2000,TEXAS,DONLEY,24.8,-100.8145306,34.9315007
2000,TEXAS,DUVAL,15.0,-98.5121975,27.6708701
2000,TEXAS,EASTLAND,13.3,-98.8630896,32.2978594
2000,TEXAS,EL PASO,30.0,-106.4882345,31.7550511
2000,TEXAS,ELLIS,40.2,-96.7920233,32.3347829
2000,TEXAS,ERATH,24.0,-98.2213499,32.1954856
2000,TEXAS,FALLS,44.3,-96.9262126,31.2320941
2000,TEXAS,FANNIN,43.0,-96.0902822,33.5372542
2000,TEXAS,FISHER,24.0,-100.3811922,32.7090882
2000,TEXAS,FLOYD,13.3,-101.2765537,34.0266015
2000,TEXAS,FOARD,23.9,-99.7310158,33.9502317
2000,TEXAS,FRANKLIN,37.5,-95.2231752,33.2002659
2000,TEXAS,FRIO,27.9,-99.1226618,28.8352831
2000,TEXAS,GAINES,31.7,-102.6220553,32.7044935
2000,TEXAS,GARZA,23.3,-101.287742,33.1414018
2000,TEXAS,GILLESPIE,17.0,-98.9086643,30.2954086
2000,TEXAS,GLASSCOCK,20.5,-101.4811312,31.8640224
2000,TEXAS,GRAY,15.5,-100.7892236,35.3711816
2000,TEXAS,GRAYSON,44.9,-96.6702111,33.5636114
2000,TEXAS,GUADALUPE,25.3,-97.8279576,29.6480061
2000,TEXAS,HALE,27.9,-101.8088827,34.0321298
2000,TEXAS,HALL,17.0,-100.6536777,34.5036637
2000,TEXAS,HAMILTON,24.6,-97.9715967,31.6429346
2000,TEXAS,HANSFORD,28.7,-101.3621472,36.2563401
2000,TEXAS,HARDEMAN,21.6,-99.7322571,34.2510707
2000,TEXAS,HARTLEY,39.6,-102.6145811,35.8418438
2000,TEXAS,HASKELL,17.7,-99.7199972,33.1542164
2000,TEXAS,HAYS,0.0,-98.0393127,30.0447901
2000,TEXAS,HEMPHILL,21.3,-100.2564532,35.8293476
2000,TEXAS,HILL,39.4,-97.0881654,31.9595085
2000,TEXAS,HOCKLEY,23.8,-102.3110415,33.5714311
2000,TEXAS,HOOD,16.0,-97.828282,32.4107555
2000,TEXAS,HOPKINS,35.8,-95.5656578,33.1368252
2000,TEXAS,HOUSTON,38.3,-95.3676974,29.7589382
2000,TEXAS,HOWARD,19.0,-101.4271085,32.3047833
2000,TEXAS,HUNT,45.8,-96.0808922,33.1161567
2000,TEXAS,HUTCHINSON,31.1,-101.34844,35.8148236
2000,TEXAS,JACK,25.0,-98.1639199,33.2127019
2000,TEXAS,JOHNSON,38.6,-97.3568623,32.3766071
2000,TEXAS,JONES,15.9,-99.8606106,32.7135946
2000,TEXAS,KARNES,16.5,-97.9062893,28.8791858
2000,TEXAS,KAUFMAN,43.0,-96.3375126,32.601641
