year,state_name,county_name,yield
2000,OKLAHOMA,CREEK,36.0
2000,OKLAHOMA,CUSTER,34.5
2000,OKLAHOMA,DELAWARE,40.0
2000,OKLAHOMA,DEWEY,33.0
2000,OKLAHOMA,ELLIS,25.8
2000,OKLAHOMA,GARFIELD,34.5
2000,OKLAHOMA,GARVIN,32.0
2000,OKLAHOMA,GRADY,35.5
2000,OKLAHOMA,GRANT,35.0
2000,OKLAHOMA,GREER,28.5
2000,OKLAHOMA,HARMON,30.0
2000,OKLAHOMA,HARPER,26.5
2000,OKLAHOMA,HASKELL,34.0
2000,OKLAHOMA,HUGHES,25.0
2000,OKLAHOMA,JACKSON,36.0
2000,OKLAHOMA,JEFFERSON,28.0
2000,OKLAHOMA,JOHNSTON,22.5
2000,OKLAHOMA,KAY,35.5
2000,OKLAHOMA,KINGFISHER,35.0
2000,OKLAHOMA,KIOWA,33.5
2000,OKLAHOMA,LEFLORE,28.5
2000,OKLAHOMA,LINCOLN,39.0
2000,OKLAHOMA,LOGAN,34.5
2000,OKLAHOMA,LOVE,30.0
2000,OKLAHOMA,MAJOR,31.5
2000,OKLAHOMA,MARSHALL,30.0
2000,OKLAHOMA,MAYES,39.0
2000,OKLAHOMA,MCCLAIN,33.0
2000,OKLAHOMA,MCCURTAIN,36.0
2000,OKLAHOMA,MCINTOSH,37.5
2000,OKLAHOMA,MURRAY,28.5
2000,OKLAHOMA,MUSKOGEE,37.5
2000,OKLAHOMA,NOBLE,32.5
2000,OKLAHOMA,NOWATA,29.0
2000,OKLAHOMA,OKFUSKEE,28.0
2000,OKLAHOMA,OKLAHOMA,34.5
2000,OKLAHOMA,OKMULGEE,33.0
2000,OKLAHOMA,OSAGE,30.0
2000,OKLAHOMA,OTTAWA,40.0
2000,OKLAHOMA,PAWNEE,34.0
2000,OKLAHOMA,PAYNE,32.0
2000,OKLAHOMA,PITTSBURG,44.0
2000,OKLAHOMA,PONTOTOC,43.0
2000,OKLAHOMA,POTTAWATOMIE,35.0
2000,OKLAHOMA,ROGER MILLS,29.0
2000,OKLAHOMA,ROGERS,25.0
2000,OKLAHOMA,SEMINOLE,32.0
2000,OKLAHOMA,SEQUOYAH,45.0
2000,OKLAHOMA,STEPHENS,29.5
2000,OKLAHOMA,TEXAS,40.5
2000,OKLAHOMA,TILLMAN,32.5
2000,OKLAHOMA,TULSA,32.0
2000,OKLAHOMA,WAGONER,36.5
2000,OKLAHOMA,WASHINGTON,37.5
2000,OKLAHOMA,WASHITA,33.5
2000,OKLAHOMA,WOODS,35.0
2000,OKLAHOMA,WOODWARD,30.0
2000,SOUTH DAKOTA,AURORA,82.4
2000,SOUTH DAKOTA,BEADLE,90.3
2000,SOUTH DAKOTA,BENNETT,61.3
2000,SOUTH DAKOTA,BON HOMME,63.5
2000,SOUTH DAKOTA,BROOKINGS,99.9
2000,SOUTH DAKOTA,BROWN,91.0
2000,SOUTH DAKOTA,BRULE,71.80000000000001
2000,SOUTH DAKOTA,BUFFALO,73.6
2000,SOUTH DAKOTA,BUTTE,47.5
2000,SOUTH DAKOTA,CAMPBELL,118.2
2000,SOUTH DAKOTA,CHARLES MIX,65.7
2000,SOUTH DAKOTA,CLARK,78.1
2000,SOUTH DAKOTA,CLAY,28.6
2000,SOUTH DAKOTA,CODINGTON,86.0
2000,SOUTH DAKOTA,CORSON,105.0
2000,SOUTH DAKOTA,CUSTER,53.4
2000,SOUTH DAKOTA,DAVISON,75.5
2000,SOUTH DAKOTA,DAY,88.1
2000,SOUTH DAKOTA,DEUEL,95.1
2000,SOUTH DAKOTA,DEWEY,76.4
2000,SOUTH DAKOTA,DOUGLAS,77.1
2000,SOUTH DAKOTA,EDMUNDS,95.3
2000,SOUTH DAKOTA,FALL RIVER,61.3
2000,SOUTH DAKOTA,FAULK,99.1
2000,SOUTH DAKOTA,GRANT,47.1
2000,SOUTH DAKOTA,GREGORY,49.0
2000,SOUTH DAKOTA,HAAKON,73.6
2000,SOUTH DAKOTA,HAMLIN,93.9
2000,SOUTH DAKOTA,HAND,81.3
